Sim	Run	Time	Inds	seeds	shootmass	rootmass	PFT
38	4	59	2	0	0.0016	16.1	Ppratnss
38	4	89	1	0	0.0008	4.025	Ppratnss
38	5	29	1	0	0.0012	16.1	Ppratnss
38	5	59	1	0	0.0008	8.05	Ppratnss
38	5	89	1	0	0.0008	4.025	Ppratnss
39	1	29	1	0	0.0016	38.4	Plygnmam
39	1	59	1	0	0.0008	19.2	Plygnmam
39	2	29	2	0	0.0032	76.8	Plygnmam
39	2	59	1	0	0.0008	19.2	Plygnmam
39	2	89	1	0	0.0008	9.6	Plygnmam
39	3	29	2	0	0.0032	76.8	Plygnmam
39	3	59	2	0	0.0016	38.4	Plygnmam
39	3	89	2	0	0.0016	19.2	Plygnmam
39	4	29	2	0	0.0032	76.8	Plygnmam
39	4	59	2	0	0.0016	38.4	Plygnmam
39	4	89	2	0	0.0016	19.2	Plygnmam
39	5	29	2	0	0.0032	76.8	Plygnmam
39	5	59	2	0	0.0016	38.4	Plygnmam
39	5	89	2	0	0.0016	19.2	Plygnmam
40	1	29	231	11	0.0321333	3710.4	Ptntllan
40	1	59	1112	2914	0.78678	28002.9	Ptntllan
40	1	89	918	3117	0.9398	33280.1	Ptntllan
40	2	29	195	13	0.0250333	2817.15	Ptntllan
40	2	59	1150	2763	0.76542	28880.3	Ptntllan
40	2	89	991	3317	0.960113	35063.8	Ptntllan
40	3	29	217	17	0.031	3516.21	Ptntllan
40	3	59	1131	2805	0.763053	28550	Ptntllan
40	3	89	995	3058	0.933127	35402.4	Ptntllan
40	4	29	134	8	0.0112	1535.47	Ptntllan
40	4	59	1260	1813	0.565813	23133.6	Ptntllan
40	4	89	928	3168	0.956	33935.9	Ptntllan
40	5	29	221	22	0.0277333	2794.99	Ptntllan
40	5	59	1134	3143	0.81008	30647.6	Ptntllan
40	5	89	949	3206	0.955247	32793.3	Ptntllan
41	1	29	18	1	0.004	108.372	Pccnllmr
41	1	59	103	11	0.0268	579.44	Pccnllmr
41	1	89	376	92	0.1184	2194.07	Pccnllmr
41	2	29	18	3	0.0044	75.8844	Pccnllmr
41	2	59	63	8	0.018	363.057	Pccnllmr
41	2	89	219	48	0.068	1356.83	Pccnllmr
41	3	29	13	0	0.004	110.43	Pccnllmr
41	3	59	66	10	0.0184	393.842	Pccnllmr
41	3	89	226	47	0.0724	1353.72	Pccnllmr
41	4	29	17	1	0.0044	106.044	Pccnllmr
41	4	59	84	9	0.0208	480.723	Pccnllmr
41	4	89	299	61	0.0904	1716.09	Pccnllmr
41	5	29	22	0	0.004	117.534	Pccnllmr
41	5	59	100	13	0.0296	628.884	Pccnllmr
41	5	89	290	68	0.102	1854.69	Pccnllmr
42	1	29	160	5	0.0392	4511.4	Rnnclsrp
42	1	59	824	1599	0.7052	50776.4	Rnnclsrp
42	1	89	689	2471	0.965293	59055.5	Rnnclsrp
42	2	29	191	14	0.0396	5370.22	Rnnclsrp
42	2	59	765	1868	0.753173	50550.9	Rnnclsrp
42	2	89	618	2465	0.988027	57483.4	Rnnclsrp
42	3	29	146	9	0.0272	4051.07	Rnnclsrp
42	3	59	804	1699	0.712333	50282.6	Rnnclsrp
42	3	89	624	2489	0.98476	56816.8	Rnnclsrp
42	4	29	182	13	0.0396	5242.81	Rnnclsrp
42	4	59	769	1922	0.759533	53849.5	Rnnclsrp
42	4	89	679	2405	0.958813	57575.8	Rnnclsrp
42	5	29	186	16	0.0404	5281.52	Rnnclsrp
42	5	59	725	2092	0.80428	56811.1	Rnnclsrp
42	5	89	646	2472	0.966507	57935.2	Rnnclsrp
43	1	29	2	0	0.0088	254.9	Rumxacts
43	1	59	1	0	0.0028	63.725	Rumxacts
43	1	89	1	0	0.002	31.8625	Rumxacts
43	2	29	2	0	0.0088	254.9	Rumxacts
43	2	59	2	0	0.0056	127.45	Rumxacts
43	2	89	2	0	0.004	63.725	Rumxacts
43	3	29	2	0	0.0088	254.9	Rumxacts
43	3	59	2	0	0.0056	127.45	Rumxacts
43	3	89	2	0	0.004	63.725	Rumxacts
43	4	29	1	0	0.0048	127.45	Rumxacts
43	4	59	1	0	0.0028	63.725	Rumxacts
43	4	89	1	0	0.002	31.8625	Rumxacts
43	5	29	2	0	0.0088	254.9	Rumxacts
43	5	59	2	0	0.0056	127.45	Rumxacts
43	5	89	2	0	0.004	63.725	Rumxacts
44	1	29	2	0	0.012	870.5	Rmxcrsps
44	1	59	2	0	0.008	435.25	Rmxcrsps
44	1	89	1	0	0.0024	108.813	Rmxcrsps
44	2	29	2	0	0.012	870.5	Rmxcrsps
44	2	59	2	0	0.008	435.25	Rmxcrsps
44	2	89	2	0	0.0048	217.625	Rmxcrsps
44	3	29	1	0	0.012	435.25	Rmxcrsps
44	3	59	1	0	0.004	217.625	Rmxcrsps
44	3	89	1	0	0.0024	108.813	Rmxcrsps
44	4	29	1	0	0.0064	435.25	Rmxcrsps
44	4	59	1	0	0.004	217.625	Rmxcrsps
44	4	89	1	0	0.0024	108.813	Rmxcrsps
44	5	29	1	0	0.0064	435.25	Rmxcrsps
44	5	59	1	0	0.004	217.625	Rmxcrsps
44	5	89	1	0	0.0024	108.813	Rmxcrsps
45	1	29	12	0	0.0004	51.1048	Slcrnerp
45	1	59	125	5	0.004	513.052	Slcrnerp
45	1	89	924	200	0.046	4839.96	Slcrnerp
45	2	29	23	1	0.0008	101.84	Slcrnerp
45	2	59	207	11	0.008	884.028	Slcrnerp
45	2	89	1240	347	0.0744	7002.88	Slcrnerp
45	3	29	19	0	0.0004	53.8806	Slcrnerp
45	3	59	172	8	0.0064	735.992	Slcrnerp
45	3	89	1084	255	0.0644	5965.92	Slcrnerp
45	5	29	36	0	0.0008	107.682	Slcrnerp
45	5	59	295	23	0.0124	1267.8	Slcrnerp
45	5	89	1390	519	0.1072	8804.67	Slcrnerp
46	1	29	117	5	0.0272	5239.73	Blbschnm
46	1	59	393	347	0.3436	47357.3	Blbschnm
46	1	89	369	544	0.521	49621.3	Blbschnm
46	2	29	101	6	0.0272	5179.19	Blbschnm
46	2	59	414	326	0.3464	45321	Blbschnm
46	2	89	382	425	0.484	40196.4	Blbschnm
46	3	29	113	6	0.0272	5201.39	Blbschnm
46	3	59	366	307	0.3244	46262.8	Blbschnm
46	3	89	427	455	0.4694	47041.5	Blbschnm
46	4	29	107	8	0.0272	4926.51	Blbschnm
46	4	59	400	240	0.3024	38532.8	Blbschnm
46	4	89	351	520	0.537	51682.9	Blbschnm
46	5	29	100	8	0.0272	2886.43	Blbschnm
46	5	59	389	314	0.3336	45852.2	Blbschnm
46	5	89	370	617	0.5436	49394.4	Blbschnm
47	1	29	2	0	0.0032	34.1	Sncaqtcs
47	1	59	1	0	0.0024	8.525	Sncaqtcs
47	1	89	1	0	0.0008	4.2625	Sncaqtcs
47	2	29	1	0	0.0016	17.05	Sncaqtcs
47	2	59	1	0	0.0012	8.525	Sncaqtcs
47	2	89	1	0	0.0008	4.2625	Sncaqtcs
47	3	29	2	0	0.0032	34.1	Sncaqtcs
47	3	59	2	0	0.0024	17.05	Sncaqtcs
47	3	89	2	0	0.0016	8.525	Sncaqtcs
47	4	29	2	0	0.0032	34.1	Sncaqtcs
47	4	59	2	0	0.0024	17.05	Sncaqtcs
47	4	89	1	0	0.0008	4.2625	Sncaqtcs
47	5	29	2	0	0.0032	34.1	Sncaqtcs
47	5	59	2	0	0.0024	17.05	Sncaqtcs
47	5	89	1	0	0.0016	4.2625	Sncaqtcs
48	1	29	9	0	0.0068	1299.75	Sprtnang
48	1	59	24	0	0.0136	2783.12	Sprtnang
48	1	89	50	0	0.03	3179.05	Sprtnang
48	2	29	10	0	0.0068	1304.92	Sprtnang
48	2	59	21	0	0.0128	2243.78	Sprtnang
48	2	89	57	1	0.0328	5931.12	Sprtnang
48	3	29	4	0	0.0032	77.1984	Sprtnang
48	3	59	11	0	0.0052	923.271	Sprtnang
48	3	89	38	0	0.0168	3911.09	Sprtnang
48	4	29	10	0	0.0064	1263.75	Sprtnang
48	4	59	38	0	0.0172	3647.63	Sprtnang
48	4	89	94	4	0.0474	9837.25	Sprtnang
48	5	29	13	0	0.0064	1394.86	Sprtnang
48	5	59	44	1	0.0208	5014.05	Sprtnang
48	5	89	121	1	0.056	11069.7	Sprtnang
49	1	29	35	2	0.0024	177.922	Suadmrtm
49	1	59	354	43	0.0356	2038.65	Suadmrtm
49	1	89	1243	838	0.2652	11323.9	Suadmrtm
49	2	29	33	1	0.0024	176.163	Suadmrtm
49	2	59	330	49	0.0328	1931.27	Suadmrtm
49	2	89	1187	769	0.2328	10154.3	Suadmrtm
1	1	29	1165	258	0.0244	7899.71	Achllmll
1	1	59	381	39653	0.918933	78903.4	Achllmll
1	1	89	524	47105	0.896633	78251	Achllmll
1	2	29	1793	814	0.0404	9425.51	Achllmll
1	2	59	366	32584	0.882467	78557.8	Achllmll
1	2	89	454	50350	0.932533	78777.6	Achllmll
1	3	29	1695	620	0.0332	8758.93	Achllmll
1	3	59	382	35136	0.9082	79056.3	Achllmll
1	3	89	459	51381	0.912667	76481.5	Achllmll
1	4	29	1778	777	0.036	9352.59	Achllmll
1	1	29	1685	647	0.042	9181.81	Achllmll
1	1	59	387	35298	0.8944	82904.4	Achllmll
1	1	89	463	51233	0.9454	72528.1	Achllmll
1	1	29	1775	744	0.0388	8270.93	Achllmll
